Molecule,Canonical_Smiles,category
CHEMBL1270934,CC#Cc1cccc(c1)[C@]2(N=C(N)N(C)C2=O)c3ccc(OC(F)F)cc3,Asp
CHEMBL1271246,CN1C(=N[C@](C1=O)(c2ccc(OC(F)F)cc2)c3cccc(c3)C#CC4CC4)N,Asp
CHEMBL1221688,CC(C)[C@H](CC(=O)NCCn1cnc2cc(C)c(C)cc12)C(=O)N[C@@H](CC(=O)O)C=O,Cys
CHEMBL1221689,CC(C)[C@H](CC(=O)NCCn1c(C)nc2ccccc12)C(=O)N[C@@H](CC(=O)O)C=O,Cys
CHEMBL1221691,CC(C)[C@H](CC(=O)NCCn1c(C)nc2cc(C)c(C)cc12)C(=O)N[C@@H](CC(=O)O)C=O,Cys
CHEMBL1269691,Cc1cc(Cl)c(OCCOc2ccc(cc2)[C@H]3CCNC[C@@H]3C(=O)N(Cc4cc(CNC(=O)C5CC5)ccc4Cl)C6CC6)c(Cl)c1,Asp
CHEMBL1269688,CNC(=O)Cc1ccc(Cl)c(CN(C2CC2)C(=O)[C@H]3CNCC[C@@H]3c4ccc(OCCOc5c(Cl)cc(C)cc5Cl)cc4)c1,Asp
CHEMBL1269759,COCCCc1cc(CN(C2CC2)C(=O)[C@H]3CNCC[C@@H]3c4ccc(nc4)N5CC[C@H](C5)Oc6c(Cl)cc(C)cc6Cl)c(Cl)cn1,Asp
CHEMBL1269696,COC(=O)NCc1ccc(Cl)c(CN(C2CC2)C(=O)[C@H]3CNCC[C@@H]3c4ccc(OCCOc5c(Cl)cc(C)cc5Cl)cc4)c1,Asp
CHEMBL1269749,CC(=O)NCCc1ccc(Cl)c(CN(C2CC2)C(=O)[C@H]3CNCC[C@@H]3c4ccc(OCc5onc(c5)c6c(F)ccc(F)c6Cl)cc4)c1,Asp
CHEMBL1269757,COCCc1ccc(Cl)c(CN(C2CC2)C(=O)[C@H]3CNCC[C@@H]3c4ccc(nc4)N5CC[C@H](C5)Oc6c(Cl)cc(C)cc6Cl)c1,Asp
CHEMBL1221743,CC(C)[C@H](CC(=O)NCCc1ccnc2ccccc12)C(=O)N[C@@H](CC(=O)O)C=O,Cys
CHEMBL429477,COCCN(C[C@H]1C[C@@H]1C)c2cc(cc(n2)N(C)S(=O)(=O)C(C)C)C(=O)N[C@@H](Cc3ccccc3)[C@@H](N)COC,Asp
CHEMBL248508,CCC(N1C=C(N=C(Nc2nnn[nH]2)C1=O)C(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)CCCc3ccccc3,Cys
CHEMBL103938,CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N2CCC(CC2)OCOC)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)C[C@@H](C(C)C)C(=O)NCCN4CCCC4,Asp
CHEMBL348679,CC(C)(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](CCc2ccccc2)C#N,Cys
CHEMBL386510,Cc1ccc(cc1)S(=O)(=O)OCCOc2ccc(CN3C(=O)C(=O)c4cc(ccc34)S(=O)(=O)N5CCC[C@H]5COc6ccccc6)cc2,Cys
CHEMBL385930,BrCCOc1ccc(CN2C(=O)C(=O)c3cc(ccc23)S(=O)(=O)N4CCC[C@H]4COc5ccccc5)cc1,Cys
CHEMBL299870,CC(C)S(=O)(=O)CC[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C,Asp
CHEMBL230473,Cc1cccc(O[C@H]2CCN3C[C@@H]2OC3=O)c1C,Cys
CHEMBL230474,O=C1O[C@@H]2CN1CC[C@@H]2Oc3ccccc3,Cys
CHEMBL264194,CC(C)[C@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc3ccccc3)NC(=O)OC(C)(C)C)NC(=O)OCCN4CCOCC4,Asp
CHEMBL417905,CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N2CCC(CC2)OCOC)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)C[C@H](NC(=O)OCCN4CCOCC4)C(C)C,Asp
CHEMBL355128,CN1CC[C@@H]([C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@H](Cc4ccccc4)NC(=O)OC(C)(C)C)C1=O,Asp
CHEMBL317329,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N2CCC(CC2)OCOC)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)C[C@@H](C(C)C)C(=O)NCCC\N=C(\N)/NC#N,Asp
CHEMBL3144512,CCOC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)CC(=C)C(=O)NCC(C)(C)CN(C)C,Asp
CHEMBL3142216,CC(C)S(=O)(=O)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CCO)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C,Asp
CHEMBL101075,CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N2CCC(CC2)OCOC)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)C[C@@H](C(C)C)C(=O)NCCc4ccccn4,Asp
CHEMBL261918,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N2CCC(CC2)OCOC)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)C[C@@H](C(C)C)C(=O)NCCCNC(=O)C,Asp
CHEMBL69289,O[C@@H](CSC1CCCCC1)[C@H](CC2CCCCC2)NC(=O)C(Cc3c[nH]cn3)NC(=O)C(Cc4ccccc4)Cc5ccccc5,Asp
CHEMBL150574,CCCC[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](CCc2ccccc2)C#N,Cys
CHEMBL169551,CC(C)[C@H](NS(=O)(=O)c1ccc(C)cc1)C(=O)N[C@H](Cc2ccccc2)C=O,Cys
CHEMBL30375,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc2cscn2)NC(=O)[C@@H]3[C@H]([C@H]3S(=O)(=O)C)c4ccccc4,Asp
CHEMBL2028988,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc4c[nH]cn4)NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@@H](Cc5c[nH]cn5)C(=O)O,Asp
CHEMBL51401,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N2CCC(CC2)OCOC)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)C[C@@H](C(C)C)C(=O)NCCN4CCOCC4,Asp
CHEMBL284570,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CCN2C(=O)CS(=O)(=O)c3ccncc23)C(=O)N[C@@H](CC4CCCCC4)[C@@H](O)CC(=O)NCCCn5ccnc5,Asp
CHEMBL281508,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc2cscn2)NC(=O)[C@H](Cc3ccccc3)CS(=O)(=O)N4CCOCC4,Asp
CHEMBL49172,CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N2CCC(CC2)OCOC)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)C[C@@H](C(C)C)C(=O)NCCCn4ccnc4,Asp
CHEMBL49150,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N2CCC(CC2)OCOC)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)C[C@@H](C(C)C)C(=O)NCCc4ccccn4,Asp
CHEMBL48537,CCCC[C@H](N[C@@H](Cc1ccccc1)C(=O)N2CCC(CC2)OCOC)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)[C@@H](O)CC(C)C,Asp
CHEMBL1270630,CN1C(=N[C@](C1=O)(c2ccc(OC(F)F)c(C)c2)c3cccc(c3)C#CC4CC4)N,Asp
CHEMBL1270936,CC#Cc1cc(ccc1F)[C@]2(N=C(N)N(C)C2=O)c3ccc(OC(F)F)cc3,Asp
CHEMBL1221811,CC(C)[C@H](CC(=O)NCCc1cncc2ccccc12)C(=O)N[C@@H](CC(=O)O)C=O,Cys
CHEMBL346102,CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)Nc1ccnn1C2CCCCC2,Cys
