idx,smi,syba, SAScore, SCScore, Berzt, Withlock, Barone, SMCM, TWC
ZINC000033838849,COC1C(OC(=O)C=CC=CC=CC=CC(=O)O)CCC2(CO2)C1C1(C)OC1CC=C(C)C,-52.392389,5.296526,3.104507,873,45,663,67.079000,14
ZINC000348308268,CCC1(CC)C(NC(=O)C(=O)N2CC3CCC(C2)O3)C(C)C1OC,4.533230,5.291688,3.397787,493,32,502,47.521000,10
ZINC000471263265,CCOC(=O)C(CC)N(C(=O)C12CC3CC(C1)CC(C(F)(F)F)(C3)C2)C1CC1,20.849132,5.259294,3.244047,643,33,600,58.200000,12
,[O-][S+]1C2CCC1CN(Cc1cccc(F)c1O)CC2,27.831656,5.083364,3.743918,470,23,441,36.445000,8
ZINC000224927665,O=C1C2CC(c3ccccc3)=C3C4C=CC(C5C(=O)N(c6ccc([N+](=O)[O-])cc6)C(=O)C45)C3C2C(=O)N1c1ccc([N+](=O)[O-])cc1,-4.815460,5.082399,3.769644,1952,74,1274,96.262000,20
ZINC000361333623,CC1(C)CN(C(=O)C23CCC(CC2)C3)CC2(CCCOC2)O1,-0.450805,5.035671,4.163135,458,24,440,39.986000,9
ZINC000440557561,CC(=O)N(c1ccc(Cl)cc1)c1nc(CN2CCOC3(CC4CCC3C4)C2)cs1,36.217942,4.937913,4.998836,901,35,666,50.341000,12
ZINC000504710889,O=C(O)C1OC(OC2C(COS(=O)(=O)O)OC(C=NNc3ccc([N+](=O)[O-])cc3)C2O)C(OS(=O)(=O)O)C(O)C1O,8.765825,4.937759,3.825989,1338,67,897,87.170000,17
ZINC000370101501,CCOC1CC(N(C)C(=O)NCC2CCCC23NC(=O)N(C)C3=O)C1(C)C,25.651529,4.933884,4.481478,637,34,536,52.979000,11
,O=C(CN1CCC2CCC(C1)[S+]2[O-])Nc1nc(-c2ccco2)cs1,58.539461,4.917414,4.095151,703,32,555,38.809000,10
ZINC000417835591,COC1CC(NC(=O)N(C)C2CC3CCC(C2)N3)C1(C)C,-7.717735,4.890458,3.580669,400,27,434,44.915000,9
ZINC000418743046,Cc1cc(N)cc(CNC(=O)N2CCOC3(CC4CCC3C4)C2)c1,11.487229,4.875468,4.324893,627,29,543,47.060000,10
ZINC000462575423,O=C(NCc1cnc(N2CCOCC2)c(F)c1)C12CC3CC(C1)CC(C(F)(F)F)(C3)C2,33.315057,4.824443,4.225933,854,35,712,61.463000,13
,CC(C)OC1CC(NCCC(C)[S+](C)[O-])C1(C)C,1.171786,4.820628,3.071352,256,16,305,39.223000,7
ZINC000458943527,CCC(C)(CCO)NC(=O)NCCC1CC2C=CC1C2,30.111638,4.815724,3.960162,369,24,389,44.945000,8
ZINC000345783978,Cc1nccn1CCNC(=O)CC12CC3CC(CC(F)(C3)C1)C2,23.118857,4.799416,3.961004,597,27,538,45.754000,10
ZINC000500299982,O=C(NC1CC2CCC1O2)C(=O)N1CCOC(c2cc(F)c(Cl)cc2Cl)C1,14.781997,4.761225,4.707567,777,37,623,50.110000,11
