Canonical Smiles;Standard Type;Standard Value;pChEMBL Value;Molecular Weight;ALogP
CCCCC1=NN(CC1c2ccsc2)C(=O)NC(C)(C)c3ccccc3;EC50;39.81;7.4;369.53;5.34
Cl.COc1cccc2c(cn(CC3CCCCC3)c12)C(=O)N4CCN5CCC[C@H]5C4;EC50;19.95;7.7;432.01;4.15
CCCCCOc1ccc(C(=O)c2cccc3ccccc23)c4ccccc14;EC50;6.1;8.21;368.48;6.79
Cc1ccc(cc1S(=O)(=O)N2CCCCC2)C(=O)Oc3cccc4cccnc34;EC50;10;8;410.5;3.94
CC(C)NC(=O)c1cc(c2ccc(Cl)cc2)c(nc1Oc3ccc(F)c(F)c3)c4ccc(Cl)cc4Cl;IC50;3.5;8.46;547.82;8.58
CC(C(=O)N1CCN(CC1)S(=O)(=O)c2cc(Cl)cc(Cl)c2)c3ccc(cc3)C(F)(F)F;EC50;11;7.96;495.35;4.65
Cc1nnc([nH]1)c2cc(cc(c2)S(=O)(=O)N3CCN(CC3)C(=O)[C@@H]4C[C@H]4c5ccc(cc5)C(F)(F)F)C(F)(F)F;IC50;10;8;587.55;4.45
C[C@@H]1CN(C[C@H](C)N1C(=O)C2CCCCC2)S(=O)(=O)c3cccc4ccccc34;EC50;8;8.1;414.57;4.03
CCCCCn1cc(C(=O)c2cccc3ccccc23)c4ccccc14;EC50;5.012;8.3;341.45;6.22
C[C@H](NC(=O)C(C)(C)Oc1cccc(Cl)c1)[C@@H](Cc2ccc(Cl)cc2)c3ccccc3;IC50;1.5;8.82;456.41;6.68
C[C@H](NC(=O)C(C)(C)Oc1ccc(Cl)cc1)[C@@H](Cc2ccc(F)cc2)c3ccccc3;IC50;14;7.85;439.96;6.17
C[C@H](NC(=O)C(C)(C)Oc1ccc(Cl)cc1)[C@@H](Cc2ccc(Cl)cc2)c3ccc(F)cc3;IC50;90;7.05;474.4;6.82
Fc1ccc(c(Cl)c1)c2noc(CCC(=O)Nc3cnc4ccc(Cl)cc4c3)n2;EC50;0.9;9.05;431.25;5.3
