Molecule;Canonical Smiles;Standard Type;Standard Value;pChEMBL Value;Molecular Weight;ALogP
CHEMBL394295;Cc1ccc(cc1)c2ncc(nc2c3ccc(C)cc3)C(=O)N[C@@H]4CCCC[C@H]4CO;Ki;50;7.3;415.54;4.71
CHEMBL156264;C\N=C(/NS(=O)(=O)c1ccc(cc1)C(F)(F)F)\N2C[C@@H](C(=N2)c3ccc(Cl)cc3)c4ccccc4;Ki;35.9;7.45;520.96;5.13
CHEMBL1223649;CCCCCC1=NN(CC1c2ccccc2)C(=O)NC3CCCc4ccccc34;Ki;33.1;7.48;389.54;5.81
CHEMBL234845;CCCCCCC(C)(C)c1ccc(c(O)c1)c2cccc(OC)c2;Ki;91;7.04;326.48;6.32
CHEMBL389198;OC1CCCCC1NC(=O)c2cn(c3ccc(Cl)cc3)c(n2)c4ccc(Cl)cc4Cl;Ki;22;7.66;464.78;5.53
CHEMBL229749;Cc1ccc(cc1)n2cc(nc2c3ccccc3Cl)C(=O)NC4CCCCC4;Ki;4.6;8.34;393.92;5.56
CHEMBL247307;CC(C)NC(=O)c1cc(c2ccc(Cl)cc2)c(nc1Oc3ccc(F)c(F)c3)c4ccc(Cl)cc4Cl;IC50;3.5;8.46;547.82;8.58
CHEMBL488730;Cc1nnc([nH]1)c2cc(cc(c2)S(=O)(=O)N3CCN(CC3)C(=O)[C@@H]4C[C@H]4c5ccc(cc5)C(F)(F)F)C(F)(F)F;IC50;10;8;587.55;4.45
CHEMBL1801349;C[C@@H](NC(=O)C1(CC1)NC(=O)c2cncc(Cl)c2)c3ccc(cc3F)n4nc(Cl)c5ccccc45;Ki;0.2;9.7;512.37;5.01
CHEMBL1801087;COc1ncc(s1)C(=O)NC2(CC2)C(=O)N[C@H](C)c3ccc(cc3F)n4nc(Cl)c5ccccc45;Ki;0.29;9.54;513.98;4.42
CHEMBL1801343;C[C@@H](NC(=O)C1(CC1)NC(=O)c2ccc(C)nc2)c3ccc(cc3F)n4nc(Cl)c5ccccc45;Ki;1.4;8.85;491.95;4.66
CHEMBL1801350;C[C@@H](NC(=O)C1(CC1)NC(=O)c2cncc(Br)c2)c3ccc(cc3F)n4nc(Cl)c5ccccc45;Ki;0.12;9.92;556.82;5.12
CHEMBL15635;Clc1ccc(cc1)n2cc(nc2c3ccc(Cl)cc3Cl)C(=O)NN4CCCCCC4;Ki;78;7.11;463.8;6.02
CHEMBL1834014;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NCCCCCCCNS(=O)(=O)N;Ki;49;7.31;572.95;5.28
CHEMBL1834020;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NCC4CCC(CNS(=O)(=O)N)CC4;Ki;21;7.68;584.96;5.14
CHEMBL1834277;Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NC[C@@H]4CC[C@H](CNS(=O)(=O)N)CC4;Ki;15;7.82;584.96;5.14
CHEMBL385033;C[C@H](NC(=O)C(C)(C)Oc1cccc(Cl)c1)[C@@H](Cc2ccc(Cl)cc2)c3ccccc3;IC50;1.5;8.82;456.41;6.68
CHEMBL2113254;C[C@H](NC(=O)C(C)(C)Oc1ccc(Cl)cc1)[C@@H](Cc2ccc(F)cc2)c3ccccc3;IC50;14;7.85;439.96;6.17
CHEMBL2113249;C[C@H](NC(=O)C(C)(C)Oc1ccc(Cl)cc1)[C@@H](Cc2ccc(Cl)cc2)c3ccc(F)cc3;IC50;90;7.05;474.4;6.82
CHEMBL386832;Cc1c(\C=C\C2CCCCC2)nn(c3ccc(Cl)cc3Cl)c1c4ccc(Cl)cc4;Ki;85;7.07;445.82;8.4
CHEMBL249025;CCS(=O)(=O)n1c2CN(Cc2c3cc(ccc13)C(=O)N4CCC(C)CC4)C5CCCC5;Ki;66.3;7.18;443.61;3.97
CHEMBL482741;CC(C)N1CCOc2c(nn(c3ccccc3Cl)c2c4ccc(Cl)cc4)C1=O;Ki;1.3;8.89;416.31;5.09
