Canonical Smiles,Standard Type,Standard Value,Standard Units,pChEMBL Value,#Ro5 Violations,Molecular Weight,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,ALogP
Oc1ccccc1c2ccc(C#N)c(c2)C(F)(F)F,IC50,0.02,nM,10.7,0,263.22,,,,,3.95
CCC(C)N(C)c1cc(c(cn1)C#N)C(F)(F)F,IC50,7,nM,8.15,0,257.26,31.7,0.62,4.94,20.43,3.21
CC1(C)NC(=O)N(C1=O)c2ccc(C#N)c(c2)C(F)(F)F,IC50,6,nM,8.22,0,297.24,27.66,0.53,5.81,11.23,2.41
CC1CCNc2cc3OC(=O)C=C(c3cc12)C(F)(F)F,IC50,1,nM,9,0,283.25,31.77,0.61,5.27,21.31,3.73
[O-][N+](=O)c1ccc(NC(CC(=O)c2ccc(Cl)cc2)c3occc3)cc1,IC50,2.9,nM,8.54,1,370.79,23.03,0.45,3.27,10,5.27
CC[C@H]1C[C@]2(C)[C@@H](O)CCC2C3CCC4=CC(=O)CCC4=C13,IC50,2,nM,8.7,0,300.44,28.95,0.54,4.51,23.32,4.19
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,IC50,2.2,nM,8.66,1,429.6,20.15,0.37,3.25,21.36,5.41
CCCOC(=O)N1C[C@@]2(C)O[C@@](C)(C1)[C@H]3[C@@H]2C(=O)N(C3=O)c4ccc(C#N)c(c4)C(F)(F)F,IC50,9.3,nM,8.03,0,465.43,,,,,3.09
C[C@](O)(COc1ccc(cc1F)C#N)C(=O)N2CCc3c(cccc23)C#N,IC50,3.2,nM,8.49,0,365.36,23.25,0.43,6.2,8.73,2.29
C[C@](O)(COc1ccc(Br)cc1)C(=O)N2CCc3c(cccc23)C#N,IC50,2.4,nM,8.62,0,401.26,21.48,0.47,5.58,11.72,3.04
CC(=O)O[C@@]1(CCC2C3C=C(Cl)C4=CC(=O)[C@@H]5CC5[C@]4(C)C3CC[C@]12C)C(=O)C,IC50,4.7,nM,8.33,0,416.95,19.97,0.39,3.72,13.78,4.61
CC1(C)NC(=O)N(C1=O)c2ccc(c(c2)C(F)(F)F)[N+](=O)[O-],IC50,9,nM,8.05,0,317.22,25.36,0.5,5.6,8.69,2.45
CCCCCCCCCC[C@H]1C[C@]2(C)[C@@H](O)CCC2C3CCC4=CC(=O)CCC4=C13,IC50,0.8,nM,9.1,1,412.66,22.04,0.41,1.79,24.39,7.31
C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C=C)C1CC[C@@H]2O,IC50,7.9,nM,8.1,0,300.44,26.97,0.5,4.05,21.72,4.05
CC1(C)CCc2cc3C(=CC(=O)Oc3cc2N1)C(F)(F)F,IC50,1,nM,9,0,297.28,30.27,0.59,5.05,21.31,3.95
Oc1ccccc1c2ccc(C#N)c(c2)C(F)(F)F,IC50,0.02,nM,10.7,0,263.22,,,,,3.95
