Canonical_Smiles,FP2,pChEMBL_Value,label
Cc1cc(O)ccc1c2nn(CC=C)c3c(cccc23)C(F)(F)F,0000000000000001000000000000000001000000000000000000010000000000100000000000000010000000000000000000000000000000001000000000000000000000001000000000000000000010000000010000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000100000000000000000000000000100000000000000000000000000000000010000000001000000001000000000100010000000000100000000001001000000010000000000000100000000000010010000000001000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000010000000000000000000000000000000000000000001000000000000000000000000000000000000000001000000000000000010000000000000100010000000000000000000000000001000000000000000000100000000000000010000000000000000000000000000000000100000000001010000000000000000000000000000000000000001000000000000000000000000010000000000000000000000000000110000000001000000000000000010010000100000000000000000000000000000000000000001000000000000000000000000000000000000000000,7.23,active
Oc1ccc(cc1)c2nn(C3CCCC3)c4c(F)cccc24,0000100010000001000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100000000000100000000000000000000010000000001000000000000000000010010000000000000000000001000000001010000000000000000000000000010000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000010001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000001000000000000000000100000000100100000000000000000000000000000000000000000000000001000000001000000000000000000000000000000001000000000000000000000000000000000000100010000010000000100000000000000000000110000010010000000000000000000000000000000001000000000000000000000000000000000000000000000000010000,7.75,active
Oc1ccc(cc1)c2nn(Cc3ccccc3)c4c(cccc24)C(F)(F)F,0000000000000001000000000000000000000000001000000000000000000000100000000000000010000000000000001000000000000000001000000000000000000000100000000000000000000010000000000000000100000000000000000000000000000000000000010000000100000000000000000000000000000000000000100000000000000000000000000100000000000000000000000000000000010000000001000000000000000000000010000000000000000000001000000000010000000000000000000000000010010000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000010001000000000000000000000000000000000000000000000000000000000000000000000000000010001000000000000000000000000000000000000000000000000000000000000001000100000000001000100000000100000000000000000000000000000000000000000000000000001010000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000000100000000001000000000000000010010000000000000000000000000000000000000000000001000000000000000000000000000000000000000000,6.71,active
CCCCn1nc(c2ccc(O)cc2O)c3ccc(O)cc13,0000000000000000000000000000000001000000000001000000000000000000000000000000000010000000000000000000000000000000000000000100000000000000000000000000000000000110000000010000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000010000000001000000000000000000100110000000000000000000001001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000001000000000000000000000000000000000000000000010000000000000000001000000000000000000000000010000000000000000000000000000100000000000000001000000000000000000100000000000000000000001000000000000000000000000010000000000001000000000000000000000000000000000000000001000000001000000000000000010000000000010000000000000000000000000000000000000000000010010000000000000000000000000000000000000000000000000000000010000000000000000000000000000000,6.95,active
CCCn1nc(c2ccc(O)cc2O)c3ccc(O)cc13,0000000000000000000000000000000001000000000001000000000000000000000000000000000010000000000000000000000000000000000000000100000000000000000000000000000000000110000000010000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000100001000000000000000000000000000010000000001000000000000000000100110000000000000000000001001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000010000000000000000001000000000000000000000000010000000000000000000000000000100000000000000001000000000000000000100000000000000000000001000000000000000000000000010000000000001000000000000100000000000000000000000000001010000000000000000000000010000000000000000000000000000000000000000000000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7.21,active
Oc1ccc2c(Oc3ccc(OCCN4CCCCC4)cc3)c(sc2c1)c5ccc(NCCCl)cc5,0010100000100100000000001000000000000000000000000100000000000110000000000000000010000100000000000000001000000000000000000100000010000000100000000000000000000000001000000000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000010000000000000000000100000010001000000000000000000000010000000000000000000000001000000000010000010000000000000000000000000000010001000000000000000000000001010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000010000000000000010000000000000000000000000000000000000000000000000000000000010000010000000100000001000000000000000000010000000000000100000000100000001000000000000000000100000000000000000000011000000000000000000000000000000000000001100000000000000000000000000000000001010001000000000000000000000000011000000001000000000010000000110000000000000000000010000000010000000000000000000000000000000000000010000000000000000000000000000000000000000000000000,7.45,active
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24C(=O)c5ccccc5C4=O,0000000000000000000000000000000000001000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100000000000000100000000000010000000000010000000000000000000000000000000000000100010000000000000000000000001000000000000000000000000000000000000000000110000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001000000000000000000000000000010000001000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000100000000100000000000000000000000000000000000000000000000000001000000000010000000000000000000000000000001000000000000000000000000010000000000000000000010000000010000000100000000000000000000000000000000000000000010000000000000000000000000001001000000000000000000000000000000000000,7.04,active
Oc1ccc(cc1)C2=Cc3cc(O)ccc3C24Cc5ccccc5C4,0000000000000000000000000000000000001000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000001000000100000000000000000000000000000000000000110000000000000000000000000000000000010000000000000000000000000000000000000000000010000000000000000000000000000000100000000000010000000000000000000000000000000000000000000000000000010000000000000000000000001000000000000000000000000000000000000000000110000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000001000000000000000000100000000100000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000001000000000000100000000000010000000000000000000010000000000000000100000000000010000000000000100000000000000010000000000000000000000000000001000000000000000000000000000000000000,8.37,active
Oc1ccc2O[C@H]([C@H](Sc2c1)c3occc3)c4ccc(OCCN5CCCCC5)cc4,0010100000110100000000000000000000010000000000000000000000000000100000000000000010000000000000000000001000000000000000000100000000000000000000000000000000000100001000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000001000000000000101000000000000000000100000000000000000000000000000000100010000000000000000000000000000010000000000000000000000001000000000000000010000000000000000010010000000010000000000000000000000000001010000000000000001000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000010000000000000000000000001000000000000100000100000000000000000000000000000000010000000000000000001000000000000000000010000000000000000000000100000001000000000000000000100101000000000000000010000000000010000000100000000000000000001100000000000000000000000000000000000000001000000001000000000000000010000010000000000000000000010000000000000000000000010000000010000000000000100000000000000000000000010000000010000000000000000000000000000000000010000,7.46,active
CCC12CCC(=O)C(=C1c3ccc4[nH]ncc4c3C2=O)C,0000010000000000000000000000000001001000000000000000001000000001000001100010000010000010001000001000000000000000000000010010000000000000001000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000001000000000000000000010000000000001000001000000000000100000100010000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000010000000000000000010000000001000000000000000000000000000000001000000010000000000000010000000000000010000000000000000010000000000000001000000001001000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000000000000000000001000000000010000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000,6.21,inactive
